Term,fdr,es,nes,lead_genes,subset
Interferon Alpha Response,0,-0.500333136,-2.193538578,LGALS3BP;SAMD9L;LY6E;ISG15;IRF9;USP18;IFI30;SELL;IRF7;IL4R;OAS1;CMPK2;UBE2L6;SAMD9;EPSTI1;IFI44L;PSMB8;PARP14;CD47;IFI44;RSAD2;SP110;IFI35;DDX60;IFIT3;CNP;LAP3;PLSCR1;NMI;MX1;PSME2;SLC25A28;STAT2;HERC6;HELZ2;MOV10;ISG20;MVB12A;PSMB9;RTP4;GBP4,age_changes_B_memory_02032026
Bile Acid Metabolism,0.006206843,0.43671362147227216,1.856450278597543,ATXN1;NR3C2;GSTK1;ABCA6;PHYH;ABCA5;EPHX2;ABCD2;SLC29A1;PEX11A;HSD17B11;ALDH9A1;DHCR24;OPTN;IDI1;RXRA;FDXR;ACSL1;PFKM;HSD17B6;SLC35B2;RETSAT;SOD1;HSD3B7;SLC27A2;SLC22A18;ABCG8;CROT;AQP9;PEX12;TFCP2L1;LONP2;ACSL5,age_changes_B_memory_02032026
Epithelial Mesenchymal Transition,0.006206843,0.4196905552716187,1.8372610904262614,LGALS1;ENO2;IL15;TIMP1;MYL9;NT5E;FAS;VCAN;ACTA2;VIM;MFAP5;EMP3;CD59;CADM1;FLNA;TGFBI;PLAUR;CALD1;PFN2;TGFBR3;PLOD1;LRP1;SAT1;DST;FBLN5;TGM2;ITGB1;CXCL8;DAB2,age_changes_B_memory_02032026
Apoptosis,0.012413686088913028,0.3772775851349195,1.7353583234086196,ENO2;LGALS3;TXNIP;TIMP1;TGFB2;FAS;CFLAR;PDCD4;HMGB2;SQSTM1;GPX4;BMF;CD14;PEA15;CASP1;PAK1;CDK2;ANKH;HSPB1;IL18;BCL2L2;CYLD;RELA;CTH;PPT1;TGFBR3;PRF1;TSPO;SAT1;PSEN2;ETF1;FDXR;PMAIP1;F2R;CDKN1B,age_changes_B_memory_02032026
Cholesterol Homeostasis,0.039999655,0.3803957257678248,1.5120797582403984,ATF5;LGALS3;SREBF2;LGMN;ANXA5;TP53INP1;ETHE1;S100A11;DHCR7;PLAUR;IDI1;ACSS2;ALCAM;CYP51A1;CXCL16;ACAT2;ATF3;PNRC1;CTNNB1;MVK;ERRFI1;LSS;CLU;GLDC,age_changes_B_memory_02032026
Complement,0.040499651,0.3266875696521119,1.5225891961164362,CCL5;LGALS3;TIMP1;CTSH;F8;KCNIP2;LGMN;FCN1;KYNU;ANXA5;S100A9;CASP1;SERPINA1;PRDM4;HSPA5;DGKG;CD59;CDA;GZMB;S100A12;CSRP1;ATOX1;L3MBTL4;PDP1;PLAUR;S100A13;ANG;PIK3R5;LCP2;RBSN;RHOG;LRP1;HSPA1A;RNF4,age_changes_B_memory_02032026
p53 Pathway,0.043802578,0.31871555784123734,1.5289290246939486,TXNIP;PVT1;PERP;CDKN2A;S100A4;FAS;AEN;STEAP3;S100A10;CCNG1;DDB2;DDIT4;ISCU;CASP1;TP63;DRAM1;CCND3;CGRRF1;TSPYL2;EPS8L2;CD82;STOM;ZBTB16;SAT1;FAM162A;RXRA;FDXR;F2R;TNFSF9;CCNK;ITGB4;PRKAB1;ELP1;PPM1D;GLS2;RETSAT;NINJ1;ATF3;ZFP36L1;EPHX1;CTSF;TCN2;FUCA1;PIDD1;SPHK1;UPP1,age_changes_B_memory_02032026
IL-2/STAT5 Signaling,0.044482375,0.32790243394728463,1.5449839152969604,RORA;HIPK2;CD86;SERPINB6;COCH;CDC42SE2;PLIN2;CST7;RNH1;IL2RB;NT5E;PRNP;CYFIP1;TNFRSF1B;FGL2;IL10RA;GPX4;BCL2;GLIPR2;CCND3;RRAGD;TWSG1;P2RX4;ETFBKMT;FLT3LG;SYNGR2;BATF3;AHNAK;TRAF1;EOMES;HOPX;TNFRSF8;P4HA1;PTGER2;ALCAM;ODC1;IL10;MAP3K8;TGM2;IRF8;S100A1;SLC1A5,age_changes_B_memory_02032026
Androgen Response,0.045253528,0.340629105,1.4745919547957749,CDC14B;SGK1;MAP7;ARID5B;PDLIM5;UBE2J1;ANKH;LMAN1;CCND3;UBE2I;NKX3-1;PIAS1;XRCC6;DHCR24;IDI1;MAF;SAT1;UAP1;HSD17B14;SMS;ELL2;ADRM1;MAK;STEAP4;INSIG1;KRT8;FKBP5;APPBP2;ITGAV;ABHD2;PTK2B;HPGD;PLPP1;ACSL3,age_changes_B_memory_02032026
Angiogenesis,0.046923733,0.521110899,1.4812699553675637,TIMP1;S100A4;VCAN;FGFR1;LRPAP1;ITGAV,age_changes_B_memory_02032026
Inflammatory Response,0.049654744355652106,0.33339164386926906,1.55225997,CD70;IL15;CCL5;TIMP1;RIPK2;IL2RB;TNFRSF1B;IL10RA;TAPBP;NOD2;CD14;SLC31A2;ICAM1;CSF3R;EMP3;IL18;P2RX4;PLAUR;LTA;PIK3R5;LCP2;CD82;RELA;KCNA3;RHOG;MEFV;PTGER2;C5AR1;FPR1;IL10;ABI1;BEST1;CXCL8;TNFSF9;HIF1A;ADGRE1;ADRM1;SLC7A1;MARCO;GPR132;IL18R1;SPHK1;KIF1B;CSF1;IL15RA;MSR1;IFITM1;MXD1;AQP9;GNA15;IRAK2,age_changes_B_memory_02032026
Fatty Acid Metabolism,0.049654744355652106,0.34778252010561456,1.5837195508368094,LGALS1;ENO2;BLVRA;PCBD1;S100A10;PTPRG;YWHAH;SUCLG2;HSD17B11;G0S2;ALDH9A1;DHCR24;ECI2;IDI1;ALAD;MGLL;HSDL2;ODC1;CRAT;SERINC1;IL4I1;ACSL1;PRDX6;CRYZ;SMS;DLST;ACOT2;ALDOA;ACO2;SLC22A5;REEP6;RETSAT;ACAT2;DLD;EPHX1;CD36;HSPH1,age_changes_B_memory_02032026
