Term,fdr,es,nes,lead_genes,subset
Protein Secretion,0.049861639123800656,0.33609357637981274,1.4552546092775205,ATP1A1;SSPN;CD63;SCRN1;VAMP3;TMED2;YKT6;ARF1;LMAN1;ARFIP1;AP3S1;PPT1;M6PR;RAB14;DST;RAB5A;TMED10;PAM;SCAMP3;SOD1;AP2B1;KIF1B;ANP32E;CTSC;OCRL,age_changes_B_memory_02032026
Spermatogenesis,0.055097668,0.3452704793560107,1.4368557254040468,PEBP1;NPHP1;DBF4;SPATA6;MAP7;JAM3;NCAPH;TSN;TKTL1;CAMK4;GSTM3;ZC2HC1C;CCT6B;CLPB;ACE;IL12RB2;COIL;DPEP3;NEK2;PCSK1N;AURKA;PRKAR2A;CLVS1;MTOR,age_changes_B_memory_02032026
Interferon Gamma Response,0.055734456,-0.326726093,-1.58619364,CD38;LGALS3BP;GPR18;SAMD9L;LY6E;ISG15;CASP4;IRF9;TNFSF10;IFIT1;USP18;PIM1;IFI30;IRF7;IL4R;KLRK1;IFNAR2;CMPK2;UBE2L6;EPSTI1;IFI44L;BPGM;PSMB8;PARP14;XAF1;IFI44;RSAD2;VAMP8;PTPN2;SP110;IFI35;DDX60;PSMA2;IFIT3;LAP3;PLSCR1;PFKP;NMI;RNF213;MX1;AUTS2;NFKB1;MX2;PSME2;SLC25A28;STAT2;CASP3;ST8SIA4;PSMB2;HERC6;HELZ2;ST3GAL5;ISG20;OAS2;VAMP5;PNP;PSMB9;RBCK1;LYSMD2;TNFAIP3;RTP4;GBP4,age_changes_B_memory_02032026
Adipogenesis,0.067654589,0.2973581048526159,1.4044761075931387,RAB34;PLIN2;DHRS7;PDCD4;CD151;PHYH;GPX4;SSPN;EPHX2;MGST3;COX8A;SLC5A6;SLC25A1;DHCR7;RMDN3;PGM1;NDUFA5;STOM;MGLL;RNF11;QDPR;BCL2L13;CMPK1;CRAT;GPAT4;PEMT;CD302;SULT1A1;SLC1A5;G3BP2;POR;SLC27A1;NABP1;ALDOA;ACO2;REEP6;RETSAT;DLD;TANK;CD36;SOD1;GRPEL1;GPHN;PEX14;YWHAG;UBC;FAH;UBQLN1;SLC25A10;PHLDB1;CS,age_changes_B_memory_02032026
Pperoxisome,0.068352859,0.32221414427510126,1.3874176717287383,ATXN1;GSTK1;MVP;EPHX2;ABCD2;YWHAH;CNBP;CADM1;PEX11A;HSD17B11;ALDH9A1;DHCR24;ECI2;IDI1;PABPC1;TSPO;CRAT;ACSL1;SLC35B2;RETSAT;SIAH1;SOD1;HSD3B7;PEX14;SLC27A2,age_changes_B_memory_02032026
Myogenesis,0.069433884,0.3030519971170617,1.3943830716510783,PRNP;CHRNA1;SSPN;DAPK2;WWTR1;RYR1;APOD;TPM3;FXYD1;SMTN;SYNGR2;MAPK12;PDE4DIP;PSEN2;DMPK;CRAT;ACSL1;PFKM;ITGB1;IGFBP7;CNN3;LSP1;ITGB4;NAV2;CD36;TNNC1;MYH9;SPHK1;PKIA;ENO3;CDH13;GNAO1;CFD;NCAM1;MYL2;PVALB;SH2B1;AGL,age_changes_B_memory_02032026
DNA Repair,0.083415903,-0.316451874,-1.462153359,NT5C3A;GTF2H5;POLR2G;NME1;TP53;RPA3;PDE6G;NELFB;MRPL40;CMPK2;APRT;RBX1;ALYREF;AGO4;POLR2H;RFC2;TAF10;TAF12;SUPT4H1;NME4;PCNA;GSDME;DAD1;UMPS;TSG101;ADA;POLR1D;UPF3B;IMPDH2;CSTF3;ITPA;CETN2;ZNRD1;PNP;RNMT;RAE1;BOLA2;RRM2B;REV3L;SRSF6,age_changes_B_memory_02032026
Allograft Rejection,0.091058039,0.2852600301611814,1.345531096022752,IL15;CCL5;SRGN;CD86;CDKN2A;TIMP1;RIPK2;TGFB2;IL2RB;FAS;DEGS1;TAPBP;TRAF2;CD247;ICAM1;STAT4;IL12RB1;IL18;IL12A;GZMB;UBE2N;BCAT1;CCND3;CD80;FLNA;APBB1;LCP2;PRF1;IL10;F2R;ABI1;KLRD1;IRF8;CXCR3;CD4;NPM1;HIF1A;MAP4K1,age_changes_B_memory_02032026
G2-M Checkpoint,0.10007431260837256,-0.308703878,-1.475256309,CDKN2C;STMN1;HIRA;LBR;MTF2;SMAD3;CKS2;FOXN3;CTCF;EZH2;MYBL2;MAPK14;NASP;ORC6;KNL1;HNRNPD;CENPF;UBE2S;KIF15;MYC;TNPO2;CKS1B;TOP1;E2F4;HMGA1;SLC12A2;SAP30;SMARCC1;UPF1;ABL1;SMC4;RPS6KA5;SLC38A1;SRSF2;DMD;KMT5A;CUL3;RBM14;NOTCH2;TACC3;NUSAP1;GSPT1,age_changes_B_memory_02032026
Coagulation,0.10126954440955364,0.3109772212321015,1.320412331535647,CAPN2;TIMP1;CTSH;F8;LGMN;ISCU;SERPINA1;CRIP2;RAPGEF3;CSRP1;S100A13;ANG;LRP1;PRSS23;USP11;S100A1;CPQ;C8G;FBN1;ARF4;CFD;MAFF;CLU;WDR1;C1QA;PLEK;C1R;APOA1,age_changes_B_memory_02032026
Glycolysis,0.10496461237403126,0.2865069627892344,1.322707679969481,ENO2;NT5E;VCAN;DDIT4;GNPDA1;PRPS1;HSPA5;TXN;IL13RA1;BPNT1;GCLC;RRAGD;ECD;PYGL;GFPT1;TKTL1;TGFBI;TPI1;PKM;ALDH9A1;ANG;CTH;PLOD1;P4HA1;FAM162A;PYGB;AK3;PAM;SLC37A4;SLC16A3;ALDOA;PGK1;QSOX1;GNE;LHPP;DLD;SOD1;GOT2;GMPPB;GALK2;SLC25A10;HAX1;MIF;AURKA;SRD5A3,age_changes_B_memory_02032026
KRAS Signaling Up,0.11042853604161505,-0.307104521,-1.399770325,TSPAN13;LAT2;GYPC;SATB1;CLEC4A;IL2RG;IL7R;JUP;TRIB2;HDAC9;DUSP6;ENG;ADAM17;GLRX;ETS1;CBX8;BPGM;GNG11;PSMB8;MMP11;STRN;IKZF1;EVI5;ID2;ATG10;BIRC3;TOR1AIP2;CCND2;YRDC;RGS16;MAP3K1;LY96,age_changes_B_memory_02032026
Estrogen Response Early,0.11625417022267048,0.2856079225421537,1.2967392446654666,MAST4;DYNLT3;RAB31;KLF10;SYBU;GAB2;CHPT1;RHOBTB3;BCL2;SYNGR1;DHCR7;FAM102A;ALDH3B1;PEX11A;MREG;TJP3;INPP5F;PMAIP1;PRSS23;ISG20L2;RPS6KA2;TGM2;NAV2;WWC1;AQP3;NADSYN1;SLC22A5;ZNF185;SLC9A3R1;KRT8;PPIF;CELSR2;SLC27A2;FKBP5;AREG;ELF1;MUC1;XBP1;KAZN;ABHD2;SNX24;MINDY1;ITPK1;SLC1A1;RET;FHL2;ELF3;ABCA3;RHOD;NBL1;PDZK1;WFS1;SLC7A5;CANT1;RAPGEFL1;MAPT;SEC14L2;TGIF2;ASB13,age_changes_B_memory_02032026
Myc Targets V2,0.12354471141937083,-0.341470341,-1.327988836,PPAN;NOP56;BYSL;MYC;IPO4;MRTO4;CBX3;GNL3;SRM;RRP9;HK2;EXOSC5;SORD;DCTPP1;NOP16;DDX18;PHB;DUSP2,age_changes_B_memory_02032026
Notch Signaling,0.12468004293617373,-0.396753256,-1.31208142,LFNG;DTX4;DTX1;RBX1;HES1;SAP30,age_changes_B_memory_02032026
Oxidative Phosphorylation,0.12707456031706713,-0.27996013,-1.341068552,TIMM8B;NDUFC2;SLC25A5;IDH2;NDUFB3;TIMM13;CYB5A;PDHB;ATP5PF;ATP5F1C;ATP6V1D;NDUFA7;DECR1;NDUFA2;ATP5MF;NDUFB2;ACAA1;NNT;ECHS1;SLC25A11;NDUFA8;BDH2;NDUFB8;TIMM10;ECI1;LDHA;MRPL15;UQCRQ;MRPS11;NDUFS4;ECH1;ATP5PO;NDUFB1;UQCR10;COX6B1;ATP5MC3;MDH1;IDH1;NDUFA1;ATP6V0B;NDUFS2;SDHD;NDUFA9;NDUFAB1;ATP6V1H;MTX2;COX5A;NDUFB6;ATP5PB;ATP5ME;ATP6V1C1;MRPS12;ATP5F1E;NDUFV2;NDUFB5;MRPS22;PMPCA;ATP6V1G1;BAX;CYC1;FXN;POLR2F;TIMM17A;COX11;COX7B;ATP6V1E1;NDUFS6;ACAA2;MTRF1;COX7C;ETFDH;SUCLG1;SUCLA2;ETFB;ATP5PD;NDUFS3,age_changes_B_memory_02032026
TGF-beta Signaling,0.14218479068615308,-0.355408982,-1.347498227,PMEPA1;FKBP1A;SMAD3;ENG;TGIF1;SPTBN1;SMURF2;TRIM33;ID2;SKIL;FURIN;NCOR2;BCAR3,age_changes_B_memory_02032026
IL-6/JAK/STAT3 Signaling,0.15463215258855587,-0.307984765,-1.245400669,CD9;CD38;IL2RG;IL3RA;IRF9;PIM1;IFNGR1;IL4R;TNF,age_changes_B_memory_02032026
E2F Targets,0.15592136374895849,-0.259437012,-1.25575872,CDKN2C;STMN1;NME1;TP53;LBR;RPA3;NAA38;CKS2;CTCF;EZH2;MYBL2;NASP;ORC6;NOP56;SNRPB;SMC6;HNRNPD;UBE2S;MYC;CKS1B;CTPS1;RFC2;HMGA1;PRDX4;RAD51AP1;PCNA;SMC4;SRSF2;UBE2T;PNN;ING3;PAICS;LYAR;TACC3;GSPT1;DCTPP1;DONSON,age_changes_B_memory_02032026
Myc Targets V1,0.1604409214763438,-0.262475991,-1.264888819,NME1;PSMA4;TRIM28;PSMA7;TXNL4A;SET;NOP56;EIF3B;LSM2;HNRNPD;HDGF;SERBP1;MYC;HDDC2;CTPS1;PSMB3;PRDX4;CBX3;APEX1;GNL3;SMARCC1;LDHA;PSMA2;PCNA;PSMD8;SRM;RRP9;C1QBP;SRSF2;SNRPD3;EIF2S2;IMPDH2;FAM120A;PSMB2;SSBP1;SNRPG;CCT5;NHP2;NDUFAB1;GSPT1;COPS5;COX5A;POLE3;PSMA1;RPS10;PSMC6;NOP16;EIF3J;SRSF3;LSM7;HNRNPA2B1;POLD2;SNRPB2;YWHAE;DDX18;RFC4;RUVBL2;MRPS18B;PHB,age_changes_B_memory_02032026
Estrogen Response Late,0.17515119943547286,0.27123480883188833,1.2309467852781095,LSR;PERP;DYNLT3;RAB31;PDCD4;CHPT1;SGK1;BCL2;SLC29A1;S100A9;SERPINA1;ATP2B4;DHCR7;FAM102A;ALDH3B1;TJP3;DNAJC1;PRSS23;RPS6KA2;GPER1;SLC22A5;SLC2A8;MDK;ST6GALNAC2;SLC9A3R1;PPIF;TNNC1;CELSR2;CA2;SLC27A2;FKBP5;AREG,age_changes_B_memory_02032026
UV Response Up,0.18073198428540194,0.2724253820069505,1.219790524502648,ENO2;GGH;TMBIM6;SQSTM1;TFRC;SELENOW;ICAM1;CREG1;CDK2;YKT6;PPP1R2;CCND3;BSG;ASNS;EIF2S3;PLCL1;PPT1;GRINA;SULT1A1;RPN1;AQP3;ALDOA;SIGMAR1;CEBPG;ATF3;EPHX1;PPIF;GRPEL1;CA2,age_changes_B_memory_02032026
PI3K/AKT/mTOR  Signaling,0.18743926373354167,-0.28615071,-1.207895775,SLA;PTEN;IL2RG;VAV3;LCK;MAPK1;GRK2;MKNK2;PRKCB;CSNK2B;PRKAG1;HRAS;ARPC3;NCK1;MAP2K3;AKT1;STAT2;AP2M1;PDK1;TSC2;CAB39,age_changes_B_memory_02032026
Wnt-beta Catenin Signaling,0.1897625535227715,-0.327787683,-1.195405031,TP53;AXIN1;ADAM17;MYC;MAML1;NCOR2;CCND2;FRAT1,age_changes_B_memory_02032026
Unfolded Protein Response,0.19148110792148343,0.2753306538085552,1.199029938306305,DDIT4;BAG3;HSPA9;HSP90B1;HSPA5;YWHAZ;DCP1A;ASNS;HYOU1;TSPYL2;EEF2;SPCS1;EXOSC10;EIF4E;PSAT1;ATF6;NPM1;NABP1;CEBPG;ATF3;XPOT;DNAJC3;CHAC1;SRPRA;CALR;DCTN1;SSR1;EIF4G1;EXOSC9;XBP1;CNOT2;EIF2AK3;EDC4;KDELR3;EXOC2;NOLC1;WFS1;SLC7A5,age_changes_B_memory_02032026
mTORC1 Signaling,0.19759349900656778,0.2501882000817149,1.200451165816477,FGL2;CCNG1;SQSTM1;LGMN;DDIT4;HSPA9;TFRC;TCEA1;HSP90B1;HSPA5;YKT6;DHCR7;GCLC;BCAT1;ASNS;GAPDH;PGM1;TPI1;DHCR24;IDI1;CTH;QDPR;P4HA1;M6PR;ETF1;PSAT1;FDXR;HSPA4;UBE2D3;CYP51A1;CANX;GPI;SLC1A5;RPN1;SLC37A4;PIK3R3;ALDOA;PGK1;TBK1;INSIG1;SLC9A3R1;RPA1;UCHL5;CALR;GMPS;SSR1;CTSC;RAB1A;AURKA;XBP1;PSMD14;ACSL3;TES;SYTL2;UFM1;STIP1;GOT1;ACLY;ARPC5L;MCM2,age_changes_B_memory_02032026
Hypoxia,0.20492512995577625,0.25228542720048364,1.1827189076446183,ENO2;RORA;S100A4;PLIN2;DDIT4;BCL2;HSPA5;FBP1;SLC25A1;RRAGD;GAPDH;TKTL1;PGM1;TGFBI;ANXA2;PLAUR;TPI1;P4HA1;FAM162A;MT1E;CDKN1B;TGM2;PAM;GPI;IDS;SLC37A4;ALDOA;PGK1;KIF5A;ATF3;PNRC1;HK1;MYH9;VHL;ENO3;KLHL24,age_changes_B_memory_02032026
Xenobiotic Metabolism,0.2100671545934949,0.25358198329484644,1.1663833811169981,TMBIM6;TGFB2;FAS;DHRS7;PTGES3;PDLIM5;KYNU;ABCD2;FBP1;CDA;GCLC;BCAT1;PGD;ALDH9A1;CES1;PEMT;GSS;IRF8;SLC1A5;POR;ACO2;RETSAT;SLC12A4;NINJ1;EPHX1;SSR3;CD36;CA2;UPP1;FAH;ABCC3;CROT;AQP9;UPB1;AKR1C3;CYP2J2;ALDH2,age_changes_B_memory_02032026
KRAS Signaling Dn,0.2101732544745967,0.27036197019296093,1.1726297929922245,TGFB2;STAG3;SGK1;SIDT1;PRKN;PLAG1;WNT16;SLC25A23;RYR1;FGF22;FGGY;CD80;MEFV;ZBTB16;MYO15A;ZC2HC1C;DTNB;ENTPD7;THNSL2;SLC29A3;UPK3B;CELSR2;KCNMB1;ALOX12B;TCF7L1;NR4A2;OXT;TFCP2L1,age_changes_B_memory_02032026
UV Response Dn,0.2365618033192965,-0.257852012,-1.150277101,PTEN;LAMC1;SMAD3;ANXA4;GCNT1;MTA1;MAPK14;CACNA1A;DBP;PRKCE;MYC;FYN;MRPS31;RUNX1;BCKDHB;NFKB1;DLG1;DYRK1A;NOTCH2;APBB2;IRS1;PRKAR2B;BHLHE40;TENT4A;SYNE1;CDK13;ADD3;VAV2;KCNMA1;GRK5;ATRN;SPOP;MGMT;TGFBR2;SMAD7;PRKCA,age_changes_B_memory_02032026
Apical Junction,0.2597120468173304,0.24769367814754267,1.1272430496087567,CD86;MYL9;CTNNA1;VCAN;JAM3;CD99;CRB3;ICAM1;YWHAH;FSCN1;NEXN;TGFBI;TRAF1;AMIGO2;MPP5;TSPAN4;ZYX;CRAT;MAPK11;ITGB1;NECTIN1;ITGB4;PIK3R3;MDK;CD274;INSIG1;GTF2F1;MYH9;ATP1A3;LIMA1;FBN1;IKBKG;AKT3,age_changes_B_memory_02032026
heme Metabolism,0.30785941500504305,0.232072088,1.093473896399007,BLVRA;PRDX2;NUDT4;CAST;ADD2;TFRC;NFE2L1;MGST3;FECH;ARL2BP;TCEA1;MKRN1;GCLC;CCND3;BSG;ASNS;EIF2AK1;TMCC2;OPTN;ALAD;RAD23A;HTATIP2;GDE1;PDZK1IP1;FBXO7;ELL2;AQP3;ACSL6;DMTN;FN3K;ADIPOR1;DAAM1;SLC10A3,age_changes_B_memory_02032026
TNF-alpha Signaling via NF-kB,0.326852355,0.22525790123852826,1.0774662349755852,CCL5;RIPK2;KLF10;CFLAR;ZC3H12A;SQSTM1;SGK1;MSC;RELB;PDLIM5;KYNU;ICAM1;NFKB2;IL18;DRAM1;TNIP2;CD80;G0S2;PLAUR;RELA;TNIP1;TRAF1;SAT1;LITAF;MAP3K8;TNFSF9;EHD1;SLC16A6;NINJ1;ATF3;TANK;PNRC1;SPHK1;KLF9;AREG;CSF1;DUSP4;IL15RA;CEBPD;CXCL2;SIK1;IL23A;MXD1;SLC2A6;NR4A2,age_changes_B_memory_02032026
Hedgehog Signaling,0.3896295665971734,0.32023711580583775,1.038228317598357,TLE3;L1CAM;NRCAM;ADGRG1;NRP2,age_changes_B_memory_02032026
Reactive Oxygen Species Pathway,0.6037434976467674,-0.257945662,-0.9625019,FES;LAMTOR5;GLRX;PDLIM1;PRDX4;HHEX;PFKP;CDKN2D;HMOX2;GSR;NDUFS2,age_changes_B_memory_02032026
Mitotic Spindle,0.69722712,-0.191135591,-0.910766572,MID1IP1;RALBP1;BIN1;NCK2;RANBP9;SPTBN1;CENPF;KIF15;WASF2;ARL8A;ARHGEF7;NCK1;WASF1;CD2AP;ABL1;SOS1;SMC4;CNTRL;ABR;KNTC1;MYO1E;TUBGCP3;DLG1;PLEKHG2;BCR;CAPZB;ROCK1;NOTCH2;NUSAP1;CLIP2;MARK4;RICTOR;PCNT;RABGAP1;YWHAE;NEDD9;SUN2;CEP192;PKD2;KPTN;SMC1A,age_changes_B_memory_02032026
Apical Surface,0.7606098223291179,0.25918692752149664,0.8640114412122959,IL2RB;HSPB1;PLAUR;MDGA1;GSTM3,age_changes_B_memory_02032026
Pancreas Beta Cells,0.9337792089835687,-0.261033456,-0.747662178,FOXO1;LMO2,age_changes_B_memory_02032026
Oxidative Phosphorylation,0,-0.39021956,-2.078379035,TIMM8B;ATP6V1D;ATP5F1C;NDUFB3;ACAA1;BDH2;NDUFC2;NDUFB2;PDHB;IDH1;TIMM13;LDHA;ATP6V1E1;ATP5PF;SLC25A5;DECR1;ECH1;ATP6V0B;NDUFA2;ATP5MC3;NDUFA9;MRPS11;UQCR10;ATP5MF;MRPL15;HSD17B10;NDUFS4;NDUFA7;SDHD;IDH2;SLC25A11;NDUFS6;NDUFA8;NDUFAB1;MDH1;COX5A;COX7B;NDUFB1;NDUFB8;POLR2F;ATP6V0E1;NDUFB6;SUCLG1;NDUFS3;MRPL35;NDUFA1;COX11;ECHS1;FXN;NDUFB4;ATP5PO;NDUFA6;ATP5F1E;COX6B1;TIMM10;ECI1;ETFA;UQCRQ;ATP5PB;VDAC3;ATP5ME;BAX;PDHA1;VDAC1;ATP5MC1;ATP6V1F;FH;SUCLA2;NDUFS2;CYC1;FDX1;PRDX3;IDH3B;TIMM50;NNT;ATP6V1G1;ATP5F1B;COX6A1;UQCR11;SURF1;MRPS12;ATP5MG;IDH3G;ATP5PD,age_changes_B_naive_02032026
Interferon Alpha Response,0,-0.478684397,-2.299537556,ISG15;SAMD9L;LGALS3BP;EPSTI1;SAMD9;SP110;OAS1;PSMB8;IRF7;NMI;IRF9;LY6E;IFI30;LAP3;USP18;UBE2L6;IFI35;IFI44L;CMPK2;PSME2;IFI44;IRF2;RSAD2;MX1;PSMB9;PARP9;CD47;IFIT3;PSMA3;RTP4;CNP;MOV10;PARP14;MVB12A;STAT2,age_changes_B_naive_02032026
Apoptosis,0.00504481,0.40314511747518883,1.9046177472653536,ENO2;IL18;PEA15;TXNIP;TGFBR3;TIMP1;PDCD4;TSPO;HSPB1;SQSTM1;BCL2L11;CFLAR;HMGB2;TGFB2;F2R;ANKH;ETF1;GPX4;CDKN1B;PDGFRB;GNA15;LGALS3;IL6;CASP1;KRT18;CTH;PPT1;FAS;BMF;FEZ1;CYLD;AIFM3;BCL10;ANXA1;DAP3,age_changes_B_naive_02032026
TGF-beta Signaling,0.006870323,-0.428569433,-1.767487962,PMEPA1;FURIN;FKBP1A;SMAD3;TRIM33;SPTBN1;ID2;SMURF2;SMAD7;SMAD1;NOG;FNTA;SKI;ID3;CDK9;TGFB1,age_changes_B_naive_02032026
Inflammatory Response,0.007062734,0.3818249169854053,1.8064237417842932,CD70;IL18;IL15;RIPK2;CCL5;IL10RA;TIMP1;HIF1A;PTGER2;AQP9;TNFRSF1B;NOD2;GNA15;IL15RA;IL6;CCR7;ICAM1;MEFV;CHST2;TAPBP;BEST1;MYC;TNFSF9;RHOG;CD82;CXCL8;SLC7A1;ACVR1B;IRAK2;PROK2;CD14;MSR1;C3AR1;PDE4B;C5AR1;FPR1;MARCO;LTA;ABI1;IL2RB;IL18RAP;KIF1B;OSM;GCH1;IL10;RAF1;RELA;F3;NLRP3;MMP14;CMKLR1;STAB1;IL18R1;SPHK1;AHR;TNFAIP6;TLR2;SCARF1;P2RX4,age_changes_B_naive_02032026
E2F Targets,0.012513801987486198,-0.316012521,-1.674213248,STMN1;TP53;LBR;NOP56;RAD51AP1;NAA38;CKS2;SMC4;MYBL2;HNRNPD;CKS1B;NASP;RPA3;PCNA;CDC25B;CTCF;JPT1;DCTPP1;TOP2A;UBE2S;BARD1;PPP1R8;UBE2T;RPA2;SRSF2;HMGA1;PDS5B;ORC6;DNMT1;EXOSC8;MCM7;CDKN2C;EZH2;SMC6;NME1;PSMC3IP;CENPM;AK2;LUC7L3;WEE1;BUB1B;RFC2;SNRPB;LYAR;POLD2;GSPT1;CTPS1;CCP110;RAD51C;SMC1A;EIF2S1;TACC3;ASF1B;PTTG1;MRE11,age_changes_B_naive_02032026
Epithelial Mesenchymal Transition,0.019296397412309336,0.35000972243889983,1.6033635646807027,LGALS1;ENO2;IL15;TGFBR3;TIMP1;VCAN;CADM1;TGFBI;VIM;PFN2;ACTA2;MYL9;PDGFRB;IL6;ANPEP;CD59;FAS;WIPF1;ITGB1;TPM2;CXCL8;FLNA;DAB2;LOXL1;TPM1;ADAM12;ITGAV;CD44;THBS1;TIMP3;GPC1;MFAP5;TGM2;MMP14;FERMT2;PLOD3;PLOD1;FMOD;IGFBP3;FGF2;SAT1;MGP;COL7A1;LAMA2;MEST;SERPINH1;COL6A2;CALD1;COPA;APLP1;MAGEE1;RHOB;PTX3;ECM2;EMP3;TFPI2;MATN2;FBN1;ITGB5;SPARC;QSOX1,age_changes_B_naive_02032026
